"keyword","ngram","freq"
"stock market",2,6193
"interest rate",2,5394
"stock return",2,4761
"exchange rate",2,4679
"stock price",2,3530
"mutual fund",2,2689
"financial crisis",2,2633
"monetary policy",2,2545
"real estate",2,2075
"financial market",2,2055
"corporate governance",2,1942
"abnormal return",2,1906
"institutional investor",2,1709
"equity market",2,1687
"hedge fund",2,1679
"empirical evidence",2,1666
"cash flow",2,1656
"asset pricing",2,1579
"term structure",2,1559
"pricing model",2,1541
"credit risk",2,1522
"risk premium",2,1522
"capital structure",2,1508
"capital market",2,1348
"empirical result",2,1291
"firm value",2,1271
"information asymmetry",2,1255
"foreign exchange",2,1250
"future market",2,1214
"risk management",2,1189
"asset price",2,1061
"price discovery",2,1051
"risk factor",2,1039
"transaction cost",2,1015
"market return",2,1011
"excess return",2,989
"firm performance",2,977
"bond market",2,974
"time series",2,940
"option price",2,929
"risk aversion",2,928
"factor model",2,923
"finance association",2,916
"corporate bond",2,909
"default risk",2,886
"stochastic volatility",2,885
"credit rating",2,881
"financial institution",2,880
"earning management",2,849
"asset pricing model",3,847
"private information",2,831
"empirical analysis",2,826
"central bank",2,823
"business cycle",2,818
"data set",2,818
"asset allocation",2,815
"systemic risk",2,809
"cross -section",2,804
"option pricing",2,778
"stock index",2,772
"market volatility",2,766
"risk measure",2,765
"fund manager",2,762
"limit order",2,735
"financial distress",2,726
"option market",2,726
"sample period",2,713
"trading volume",2,712
"investor sentiment",2,710
"market price",2,705
"market reaction",2,705
"investment decision",2,699
"asymmetric information",2,697
"risk premia",2,694
"stock option",2,685
"cash holding",2,685
"investment opportunity",2,662
"american finance",2,662
"public offering",2,661
"adverse selection",2,661
"market risk",2,660
"previous study",2,659
"information content",2,659
"american finance association",3,658
"future price",2,653
"individual investor",2,650
"future contract",2,650
"systematic risk",2,649
"capital requirement",2,646
"oil price",2,638
"ownership structure",2,634
"market condition",2,634
"market value",2,632
"asset return",2,632
"house price",2,632
"firm -level",2,631
"price change",2,630
"market efficiency",2,622
"liquidity risk",2,619
"panel data",2,613
"initial public offering",3,609
"venture capital",2,609
"market liquidity",2,608
"real exchange",2,605
"return volatility",2,599
"institutional ownership",2,597
"earning announcement",2,594
"equity return",2,592
"firm size",2,588
"strong evidence",2,586
"trading strategy",2,583
"real exchange rate",3,583
"moral hazard",2,581
"global financial crisis",3,577
"index future",2,576
"financial constraint",2,575
"private equity",2,571
"investment strategy",2,571
"asset class",2,570
"volatility model",2,567
"empirical study",2,566
"bank loan",2,565
"practical implication",2,562
"predictive power",2,561
"important role",2,558
"economic growth",2,556
"default swap",2,555
"balance sheet",2,551
"market maker",2,548
"fund performance",2,545
"credit default",2,542
"new evidence",2,538
"market participant",2,536
"agency cost",2,535
"growth rate",2,531
"order flow",2,528
"product market",2,527
"cost of capital",3,523
"agency problem",2,522
"dividend policy",2,511
"credit spread",2,510
"financial management",2,509
"negative effect",2,507
"growth opportunity",2,502
"credit default swap",3,501
"positive effect",2,499
"rate risk",2,498
"banking sector",2,498
"future return",2,493
"long run",2,490
"share price",2,488
"market power",2,486
"idiosyncratic volatility",2,482
"implied volatility",2,482
"market index",2,481
"explanatory power",2,481
"exchange market",2,480
"return predictability",2,479
"financial system",2,478
"optimal portfolio",2,470
"deposit insurance",2,463
"price volatility",2,463
"crisis period",2,463
"risk exposure",2,460
"large sample",2,458
"trade credit",2,458
"price impact",2,457
"policy uncertainty",2,456
"small firm",2,455
"time period",2,454
"banking system",2,454
"event study",2,452
"idiosyncratic risk",2,452
"commodity future",2,448
"higher level",2,441
"spillover effect",2,441
"wealth effect",2,440
"significant impact",2,438
"yield curve",2,436
"stock exchange",2,436
"order book",2,434
"trading activity",2,433
"credit market",2,433
"positive relation",2,433
"bond yield",2,432
"bank risk",2,430
"index option",2,430
"ex ante",2,428
"crash risk",2,428
"hedge ratio",2,428
"underlying asset",2,425
"pension fund",2,425
"bond return",2,422
"basis point",2,421
"standard deviation",2,421
"individual stock",2,420
"cost of equity",3,419
"empirical finding",2,417
"government bond",2,416
"insider trading",2,415
"commercial bank",2,415
"executive compensation",2,411
"crude oil",2,410
"yield spread",2,409
"price reaction",2,407
"firm characteristic",2,406
"foreign exchange market",3,405
"investor protection",2,402
"positive relationship",2,401
"volatility spillover",2,401
"equilibrium model",2,400
"housing market",2,399
"share repurchase",2,398
"high level",2,398
"rate volatility",2,396
"foreign investor",2,393
"other hand",2,392
"foreign currency",2,392
"corporate investment",2,390
"cost of debt",3,388
"financial development",2,386
"life insurance",2,386
"market share",2,384
"banking industry",2,384
"discount rate",2,382
"common stock",2,382
"cross -country",2,377
"rate change",2,376
"term debt",2,376
"price movement",2,375
"performance measure",2,375
"equity premium",2,374
"equity offering",2,374
"risky asset",2,372
"tail risk",2,371
"stock market return",3,369
"negative relation",2,367
"private firm",2,365
"portfolio choice",2,364
"tax rate",2,361
"recent year",2,360
"ask spread",2,360
"market quality",2,356
"structural break",2,354
"daily return",2,353
"general equilibrium",2,351
"investment horizon",2,350
"financial stability",2,350
"current account",2,349
"real option",2,348
"return distribution",2,347
"financial sector",2,346
"insurance company",2,345
"term interest",2,344
"market structure",2,344
"chinese stock",2,342
"stochastic volatility model",3,341
"financial asset",2,341
"further analysis",2,340
"theoretical model",2,340
"different type",2,340
"sovereign debt",2,339
"family firm",2,338
"dividend payout",2,337
"term interest rate",3,336
"target firm",2,334
"significant effect",2,334
"free cash",2,333
"empirical test",2,333
"momentum strategy",2,333
"retail investor",2,332
"regression model",2,332
"random walk",2,332
"short sale",2,332
"higher return",2,330
"important determinant",2,330
"previous research",2,330
"economic policy",2,329
"financial performance",2,328
"downside risk",2,326
"american option",2,325
"social responsibility",2,324
"diversification benefit",2,322
"announcement return",2,322
"long memory",2,322
"average return",2,320
"market data",2,320
"capital asset",2,318
"natural experiment",2,317
"call option",2,316
"foreign bank",2,316
"dividend yield",2,315
"executive officer",2,313
"convertible bond",2,312
"year period",2,312
"market portfolio",2,312
"price index",2,312
"ceo compensation",2,311
"negative relationship",2,311
"negative impact",2,311
"bank capital",2,309
"interest rate risk",3,308
"level data",2,307
"market competition",2,306
"capital gain",2,305
"structure model",2,305
"financial service",2,304
"market integration",2,304
"trading rule",2,303
"stock liquidity",2,302
"real interest",2,301
"portfolio return",2,301
"present value",2,300
"economic activity",2,300
"macroeconomic variable",2,300
"rate of return",3,298
"analyst coverage",2,298
"policy implication",2,297
"little evidence",2,296
"euro area",2,296
"corporate control",2,295
"cross -border",2,295
"fund return",2,294
"large firm",2,294
"commodity price",2,293
"market model",2,293
"cross-sectional variation",2,292
"large number",2,292
"public firm",2,292
"portfolio selection",2,292
"equity capital",2,290
"prior research",2,290
"international stock",2,290
"ex post",2,289
"equity fund",2,289
"small business",2,289
"risk model",2,288
"conflict of interest",3,287
"external financing",2,287
"index return",2,287
"corporate social responsibility",3,285
"bad news",2,284
"sharpe ratio",2,283
"capital expenditure",2,283
"debt crisis",2,282
"volatility risk",2,281
"cross section",2,281
"venture capitalist",2,280
"debt maturity",2,280
"leverage ratio",2,280
"labor market",2,280
"prior study",2,279
"corporate finance",2,279
"daily data",2,278
"important implication",2,277
"end fund",2,276
"economic policy uncertainty",3,276
"time variation",2,276
"positive impact",2,275
"significant difference",2,275
"unit root",2,275
"percentage point",2,274
"shareholder value",2,274
"governance mechanism",2,273
"frequency data",2,273
"money market",2,272
"investor attention",2,272
"empirical investigation",2,271
"contingent claim",2,271
"ceo turnover",2,271
"board of director",3,269
"market microstructure",2,268
"financial integration",2,268
"same time",2,267
"significant increase",2,267
"international equity",2,267
"public information",2,267
"seasoned equity",2,266
"free cash flow",3,265
"european country",2,264
"shareholder wealth",2,264
"managerial ownership",2,264
"rational expectation",2,264
"equity index",2,263
"chinese stock market",3,263
"high frequency",2,263
"default probability",2,263
"real interest rate",3,262
"price limit",2,262
"estate market",2,262
"pension plan",2,261
"term structure model",3,261
"option pricing model",3,261
"bond price",2,260
"capital asset pricing",3,260
"utility function",2,259
"main finding",2,259
"human capital",2,259
"rate regime",2,259
"real estate market",3,259
"market performance",2,258
"payout policy",2,258
"economic condition",2,258
"new approach",2,258
"investment bank",2,257
"financial leverage",2,257
"new information",2,257
"fiscal policy",2,257
"regression analysis",2,256
"portfolio manager",2,256
"value premium",2,256
"bank credit",2,256
"corporate debt",2,255
"common factor",2,255
"open economy",2,255
"information environment",2,254
"market discipline",2,254
"future stock",2,253
"southwestern finance",2,253
"southwestern finance association",3,253
"market timing",2,252
"earning forecast",2,251
"model specification",2,249
"limit order book",3,248
"financial statement",2,247
"conditional volatility",2,247
"barrier option",2,247
"insurance market",2,247
"housing price",2,246
"asset market",2,245
"asset value",2,245
"financial literacy",2,245
"capital ratio",2,245
"insurance industry",2,245
"value at risk",3,245
"chief executive officer",3,245
"error correction",2,244
"short seller",2,243
"exchange rate volatility",3,243
"political connection",2,243
"internal capital",2,242
"structural model",2,241
"international evidence",2,241
"disposition effect",2,241
"agency conflict",2,240
"stock market volatility",3,240
"secondary market",2,239
"sale constraint",2,239
"other firm",2,238
"pricing error",2,237
"recent financial crisis",3,237
"financial analyst",2,236
"market capitalization",2,236
"financial risk",2,236
"option value",2,234
"unique data",2,234
"independent directors",2,233
"credit quality",2,233
"stock performance",2,232
"portfolio risk",2,232
"predictive ability",2,231
"conditional correlation",2,231
"home bia",2,231
"valuation effect",2,230
"debt financing",2,230
"private benefit",2,230
"european option",2,229
"wide range",2,229
"ownership concentration",2,229
"sovereign bond",2,229
"sample of firm",3,228
"price crash",2,228
"exchange rate regime",3,228
"conditional variance",2,228
"credit supply",2,227
"operating performance",2,226
"stock split",2,226
"public debt",2,226
"commercial banks",2,226
"credit union",2,226
"stochastic dominance",2,225
"time horizon",2,225
"price level",2,224
"portfolio management",2,224
"long term",2,223
"trading day",2,222
"inflation rate",2,222
"brownian motion",2,222
"structure of interest",3,221
"equity price",2,221
"alternative measure",2,220
"volatility index",2,220
"portfolio diversification",2,219
"tick size",2,219
"earning surprise",2,219
"security market",2,218
"price effect",2,216
"stock price crash",3,216
"equity portfolio",2,216
"rating agency",2,215
"underlying stock",2,215
"stock market index",3,215
"stock price reaction",3,214
"dependence structure",2,214
"state variable",2,214
"federal fund",2,214
"commodity market",2,213
"market valuation",2,213
"short selling",2,213
"macroeconomic news",2,213
"spot price",2,212
"negative return",2,211
"minority shareholder",2,211
"pricing formula",2,211
"bank performance",2,211
"future earning",2,211
"market development",2,211
"debt ratio",2,210
"neural network",2,210
"product market competition",3,210
"valuation model",2,210
"arbitrage opportunity",2,209
"offer price",2,209
"price dynamics",2,209
"recovery rate",2,209
"stock index future",3,209
"structural change",2,209
"superior performance",2,208
"main result",2,208
"international diversification",2,208
"fundamental value",2,207
"empirical support",2,207
"trade volume",2,206
"commercial real estate",3,206
"other country",2,206
"credit card",2,206
"currency risk",2,206
"other market",2,205
"debt market",2,205
"relative performance",2,205
"policy maker",2,204
"equity risk",2,203
"cost efficiency",2,203
"internal capital market",3,203
"stock return volatility",3,202
"price crash risk",3,202
"covariance matrix",2,202
"present evidence",2,202
"term performance",2,201
"corporate risk",2,201
"investment efficiency",2,201
"other factor",2,201
"positive return",2,201
"transaction data",2,201
"board independence",2,201
"general equilibrium model",3,201
"interbank market",2,200
"short run",2,199
"abnormal stock",2,199
"positive association",2,198
"simple model",2,198
"derivative market",2,198
"estate investment",2,198
"positive abnormal return",3,198
"rate model",2,198
"capital investment",2,197
"corporate innovation",2,197
"bank lending",2,197
"short interest",2,197
"real estate investment",3,197
"sovereign credit",2,196
"social capital",2,196
"technical trading",2,196
"case study",2,195
"higher risk",2,195
"contagion effect",2,195
"short term",2,194
"lower level",2,193
"large shareholder",2,193
"external finance",2,193
"default rate",2,192
"dynamic model",2,192
"liquidity provision",2,192
"banking crisis",2,192
"financing decision",2,191
"size effect",2,191
"new measure",2,191
"corporate tax",2,191
"portfolio optimization",2,191
"market time",2,191
"loan loss",2,191
"future research",2,190
"important factor",2,190
"equity issue",2,190
"order imbalance",2,190
"fund industry",2,190
"corporate cash",2,190
"bank debt",2,189
"recent study",2,189
"portfolio performance",2,189
"unique dataset",2,189
"capital regulation",2,188
"momentum profit",2,188
"high volatility",2,187
"value stock",2,187
"numerical example",2,187
"maximum likelihood",2,187
"fund rate",2,187
"consumption growth",2,187
"price of risk",3,187
"real effect",2,187
"growth stock",2,186
"firm risk",2,186
"effect of bank",3,186
"quantile regression",2,186
"spot market",2,186
"price adjustment",2,185
"performance evaluation",2,185
"trading behavior",2,184
"discount factor",2,184
"index fund",2,184
"foreign ownership",2,184
"diffusion process",2,183
"announcement effect",2,183
"leverage effect",2,183
"loan market",2,183
"policy shocks",2,183
"business group",2,182
"local market",2,182
"credit line",2,182
"market order",2,182
"value creation",2,182
"forward rate",2,182
"political risk",2,182
"new insight",2,181
"banking market",2,181
"tender offer",2,180
"initial return",2,180
"different market",2,180
"extreme value",2,180
"price pressure",2,180
"-section of stock",3,179
"market friction",2,179
"firm level",2,179
"serial correlation",2,179
"relative importance",2,179
"past return",2,179
"large bank",2,178
"analysis reveal",2,177
"market ratio",2,177
"seasoned equity offering",3,177
"pricing kernel",2,177
"equity mutual fund",3,177
"vector autoregression",2,177
"GARCh model",2,177
"lower cost",2,176
"capital allocation",2,176
"price ratio",2,176
"mutual fund performance",3,176
"short sell",2,175
"investment policy",2,175
"growth option",2,175
"more risk",2,175
"empirical literature",2,175
"sovereign debt crisis",3,175
"liquidity shocks",2,175
"exchange risk",2,174
"price shocks",2,174
"fair value",2,174
"portfolio allocation",2,173
"market segmentation",2,173
"state ownership",2,173
"market response",2,172
"international market",2,172
"new method",2,172
"safe haven",2,172
"operational risk",2,172
"poor performance",2,171
"convertible debt",2,171
"insider trade",2,171
"financing constraint",2,171
"theoretical prediction",2,171
"tax avoidance",2,171
"monthly return",2,171
"first study",2,171
"financial intermediation",2,170
"international stock market",3,170
"mortgage market",2,170
"robustness check",2,169
"efficient market",2,169
"price response",2,169
"selection bia",2,169
"earning quality",2,169
"information share",2,169
"probability distribution",2,168
"financial firm",2,168
"economic value",2,168
"currency market",2,168
"investment performance",2,167
"relative risk",2,167
"information production",2,167
"credit derivative",2,167
"chinese firm",2,167
"financial condition",2,166
"technical analysis",2,166
"cds spread",2,166
"institutional trading",2,166
"mutual fund manager",3,166
"control rights",2,166
"price increase",2,165
"day return",2,165
"further evidence",2,165
"direct investment",2,165
"flow sensitivity",2,165
"price informativeness",2,165
"international capital",2,164
"low level",2,164
"informational efficiency",2,164
"bank efficiency",2,163
"empirical research",2,163
"explanatory variable",2,163
"intraday data",2,163
"regulatory capital",2,163
"short rate",2,162
"life cycle",2,161
"financial data",2,161
"fund investor",2,161
"causality test",2,161
"rate exposure",2,161
"market factor",2,161
"noise trader",2,161
"capital inflow",2,161
"governance structure",2,160
"price performance",2,160
"total asset",2,160
"financial intermediary",2,160
"equity option",2,160
"monthly data",2,160
"estimation method",2,160
"oecd country",2,160
"private sector",2,160
"power parity",2,160
"market participation",2,160
"stress test",2,160
"probability of default",3,159
"rate movement",2,159
"share market",2,159
"oil future",2,159
"future volatility",2,159
"alternative explanation",2,159
"trading cost",2,158
"stock repurchase",2,158
"transaction price",2,158
"performance persistence",2,158
"price efficiency",2,158
"book value",2,157
"significant role",2,157
"currency option",2,157
"volatility forecast",2,156
"first time",2,156
"free rate",2,156
"market impact",2,156
"correction model",2,156
"macroprudential policy",2,156
"paper test",2,156
"bank failure",2,156
"bank hold",2,155
"audit committee",2,155
"short position",2,154
"financial innovation",2,154
"compensation contract",2,154
"firm valuation",2,154
"open market",2,154
"diffusion model",2,154
"international portfolio",2,154
"asian option",2,154
"return data",2,153
"security price",2,153
"stochastic process",2,153
"option valuation",2,153
"outside directors",2,153
"adverse effect",2,153
"information acquisition",2,153
"survey data",2,153
"decision make",2,153
"monetary policy shocks",3,153
"global equity",2,153
"liquidity creation",2,153
"active management",2,152
"stock ownership",2,152
"asset sale",2,152
"loan portfolio",2,152
"political uncertainty",2,152
"capital control",2,152
"sovereign risk",2,152
"differential equation",2,152
"board structure",2,152
"ipo firm",2,151
"insider ownership",2,151
"security return",2,151
