"keyword","ngram","freq"
"market uncertainty",2,151
"endogeneity concern",2,151
"media coverage",2,151
"fund family",2,151
"pricing theory",2,150
"prior literature",2,150
"abnormal stock return",3,150
"good news",2,150
"bear market",2,150
"real economy",2,150
"bond spread",2,150
"impulse response",2,150
"regulatory change",2,149
"cash dividend",2,149
"finance literature",2,149
"special case",2,149
"tail dependence",2,149
"bond portfolio",2,149
"swap spread",2,149
"future stock return",3,149
"numerical result",2,149
"dividend payment",2,148
"small stock",2,148
"causal effect",2,148
"discovery process",2,148
"trade size",2,148
"optimal investment",2,148
"price process",2,148
"small open economy",3,148
"relative price",2,148
"strong support",2,147
"loan spread",2,147
"robust evidence",2,147
"early exercise",2,147
"forecast error",2,147
"cumulative abnormal return",3,146
"positive correlation",2,146
"managerial incentive",2,146
"instrumental variable",2,146
"macroeconomic condition",2,146
"volatility surface",2,146
"information flow",2,146
"error correction model",3,146
"asset growth",2,146
"variance risk",2,146
"private placement",2,146
"creditor rights",2,146
"financial flexibility",2,145
"risk preference",2,145
"liquid asset",2,145
"property rights",2,145
"information advantage",2,145
"stock portfolio",2,145
"bank stock",2,145
"jump risk",2,145
"bond fund",2,145
"nominal exchange",2,145
"economic fundamentals",2,144
"equity ownership",2,144
"cryptocurrency market",2,144
"european stock",2,144
"labor income",2,144
"loan contract",2,144
"sample performance",2,144
"news announcement",2,143
"cash flow sensitivity",3,143
"nominal interest",2,143
"financial variable",2,143
"significant change",2,142
"executive stock",2,142
"smaller firm",2,142
"liquidity effect",2,142
"shareholder rights",2,142
"unconventional monetary policy",3,142
"future cash",2,141
"wealth transfer",2,141
"stochastic interest",2,141
"robustness test",2,141
"control shareholder",2,141
"return relation",2,141
"capital adequacy",2,140
"announcement period",2,140
"lower risk",2,140
"price behavior",2,140
"financial decision",2,140
"future performance",2,140
"nominal interest rate",3,140
"investment trust",2,140
"loss provision",2,140
"model parameter",2,139
"natural gas",2,139
"unique data set",3,139
"past performance",2,139
"mean reversion",2,139
"nominal exchange rate",3,139
"asymmetric effect",2,139
"foreign exchange rate",3,139
"new model",2,138
"financial stress",2,138
"more information",2,138
"cap stock",2,138
"corporate bond market",3,138
"excess cash",2,138
"asset management",2,137
"equity issuance",2,137
"allocation decision",2,137
"level of risk",3,137
"commodity future market",3,137
"relative risk aversion",3,137
"price discovery process",3,137
"stochastic discount",2,137
"dividend growth",2,137
"tax shield",2,137
"previous literature",2,136
"term return",2,135
"hold companey",2,135
"agency theory",2,135
"stochastic interest rate",3,135
"cross-sectional regression",2,135
"negative correlation",2,135
"exchange rate risk",3,135
"measure of risk",3,135
"macroeconomic announcement",2,135
"period from to",3,134
"growth firm",2,134
"stock market reaction",3,134
"negative abnormal return",3,134
"currency crisis",2,134
"information disclosure",2,134
"loan rate",2,134
"liquidity premium",2,134
"different time",2,134
"portfolio strategy",2,134
"lower bound",2,134
"bank competition",2,134
"oil market",2,134
"market sentiment",2,133
"non-financial firm",2,133
"price decline",2,133
"investment management",2,133
"spot rate",2,133
"foreign asset",2,133
"inflation expectation",2,133
"volatility smile",2,133
"rate dynamics",2,133
"market crash",2,132
"averse investor",2,132
"executive stock option",3,132
"empirical model",2,132
"corporate performance",2,132
"debt issue",2,132
"period of time",3,132
"independent director",2,132
"firm investment",2,132
"stochastic discount factor",3,132
"momentum effect",2,132
"international asset",2,132
"conditional heteroskedasticity",2,132
"transmission mechanism",2,132
"root test",2,132
"financial policy",2,131
"capital budgeting",2,131
"investment behavior",2,131
"speed of adjustment",3,131
"mutual fund industry",3,131
"financial structure",2,131
"analyst forecast",2,131
"convenience yield",2,131
"period return",2,130
"employee stock",2,130
"informational advantage",2,130
"statistical significance",2,130
"corporate policy",2,130
"sample test",2,130
"return on asset",3,130
"-level data",2,130
"incomplete market",2,130
"price risk",2,130
"exclusive licence",2,130
"time model",2,129
"study methodology",2,129
"portfolio weight",2,129
"technical trading rule",3,129
"control variable",2,129
"price formation",2,129
"outside director",2,128
"corporate board",2,128
"economic significance",2,128
"test statistic",2,128
"measurement error",2,128
"foreign exchange risk",3,128
"model uncertainty",2,128
"bank size",2,128
"price model",2,127
"recent research",2,127
"total risk",2,127
"liability insurance",2,127
"investment style",2,127
"significant determinant",2,127
"macroeconomic factor",2,127
"value relevance",2,127
"bank hold companey",3,126
"announcement date",2,126
"equity value",2,126
"world market",2,126
"litigation risk",2,126
"credit growth",2,126
"value of cash",3,126
"earning growth",2,126
"asian crisis",2,126
"economic development",2,126
"loss function",2,126
"bank relationship",2,126
"earlier study",2,125
"larger firm",2,125
"financial time",2,125
"optimal hedge",2,125
"global market",2,125
"hold period",2,125
"federal fund rate",3,125
"exogenous shock",2,125
"return reversal",2,125
"index future market",3,125
"term investment",2,124
"corporate governance mechanism",3,124
"policy rule",2,124
"gender diversity",2,124
"strike price",2,123
"quasi-natural experiment",2,123
"return series",2,123
"autoregressive model",2,123
"performance sensitivity",2,123
"principal component",2,123
"currency future",2,123
"fund flow",2,123
"cross -market",2,123
"empirical application",2,123
"conventional wisdom",2,122
"opportunity cost",2,122
"foreign market",2,122
"market imperfection",2,122
"board composition",2,122
"optimization problem",2,122
"financial contagion",2,122
"board size",2,122
"debt capacity",2,122
"equity investment",2,122
"portfolio construction",2,122
"insurance contract",2,122
"financial friction",2,122
"investment portfolio",2,121
"minimum variance",2,121
"analyst recommendation",2,121
"treasury bond",2,121
"announcement day",2,121
"debt contract",2,121
"market risk premium",3,121
"individual bank",2,121
"estimation error",2,121
"exchange rate exposure",3,121
"market expectation",2,121
"continuous time",2,121
"swap market",2,121
"total return",2,120
"other asset",2,120
"financial instrument",2,120
"structure decision",2,120
"method of moment",3,120
"market information",2,120
"different level",2,120
"bank mergers",2,120
"real earning",2,120
"oil price shocks",3,120
"negative association",2,120
"higher price",2,119
"high return",2,119
"individual firm",2,119
"managerial entrenchment",2,119
"great recession",2,119
"liquidity measure",2,119
"historical data",2,119
"economie of scale",3,119
"gdp growth",2,119
"optimal capital",2,119
"interest parity",2,119
"paper document",2,118
"similar result",2,118
"aggregate stock",2,118
"firm-specific information",2,118
"output gap",2,118
"market beta",2,118
"hedge fund return",3,118
"capital flow",2,118
"soft information",2,118
"rate swap",2,118
"deposit rate",2,118
"bank regulation",2,118
"asian country",2,118
"capital account",2,118
"financial liberalization",2,118
"emerald backfiles",2,118
"counterparty risk",2,117
"voting rights",2,117
"new issue",2,117
"option model",2,117
"japanese firm",2,117
"panel regression",2,117
"component analysis",2,117
"discretionary accrual",2,117
"volatility process",2,117
"foreign institutional investor",3,117
"alternative model",2,116
"european bank",2,116
"significant relationship",2,116
"potential endogeneity",2,116
"corporate financing",2,116
"new data",2,116
"money supply",2,116
"unconventional monetary",2,116
"financial economics",2,115
"capital structure decision",3,115
"foreign firm",2,115
"sample firm",2,115
"bond rating",2,115
"term investor",2,115
"financial time series",3,115
"low volatility",2,115
"book ratio",2,115
"possible explanation",2,115
"variance ratio",2,115
"real activity",2,115
"policy rate",2,115
"policy change",2,114
"profit efficiency",2,114
"option grant",2,114
"equity financing",2,114
"holding company",2,114
"diversified firm",2,114
"price data",2,114
"managerial ability",2,114
"voluntary disclosure",2,114
"normal distribution",2,114
"net asset",2,114
"price bubble",2,114
"efficient portfolio",2,114
"market economie",2,114
"asian financial crisis",3,114
"foreign direct investment",3,113
"additional analysis",2,113
"predictive regression",2,113
"stock volatility",2,113
"market equity",2,113
"forward premium",2,113
"economic variable",2,113
"cds market",2,112
"investment fund",2,112
"past year",2,112
"financial product",2,112
"empirical work",2,112
"sufficient condition",2,112
"risk tolerance",2,112
"information uncertainty",2,112
"margin requirement",2,112
"maturity structure",2,112
"risk premiums",2,111
"information ratio",2,111
"term premium",2,111
"lower return",2,111
"future option",2,111
"form solutions",2,111
"dynamic panel",2,111
"european market",2,111
"equity volatility",2,111
"market activity",2,111
"bond future",2,111
"supply shocks",2,111
"form solution",2,111
"international trade",2,111
"financial inclusion",2,111
"high degree",2,110
"opportunity set",2,110
"test result",2,110
"tax benefit",2,110
"market state",2,110
"government intervention",2,110
"announcement drift",2,110
"sample forecast",2,110
"time scale",2,110
"credit risk model",3,110
"foreign investment",2,110
"selection problem",2,110
"market movement",2,110
"open interest",2,110
"mortgage default",2,110
"unit root test",3,110
"dividend change",2,109
"payout ratio",2,109
"run performance",2,109
"full sample",2,109
"private debt",2,109
"risk reduction",2,109
"loss distribution",2,109
"local volatility",2,109
"last decade",2,108
"long horizon",2,108
"municipal bond",2,108
"small bank",2,108
"optimal policy",2,108
"real earning management",3,108
"institutional shareholder",2,108
"interest rate swap",3,108
"financial report",2,107
"exchange option",2,107
"trading system",2,107
"hedge strategy",2,107
"optimal strategy",2,107
"logistic regression",2,107
"regime shift",2,107
"return variance",2,107
"commercial mortgage",2,107
"trade strategy",2,107
"domestic investor",2,107
"flow rights",2,107
"estimation procedure",2,106
"debt issuance",2,106
"significant improvement",2,106
"incentive compensation",2,106
"average stock",2,106
"business model",2,106
"behavioral biase",2,106
"different measure",2,106
"volatility dynamics",2,106
"loss aversion",2,106
"outside investor",2,106
"internal control",2,106
"financial shocks",2,106
"money option",2,106
"financial economic",2,105
"high price",2,105
"nonfinancial firm",2,105
"sample of bank",3,105
"output growth",2,105
"small number",2,105
"european stock market",3,105
"option trading",2,105
"investor behavior",2,105
"money demand",2,105
"relationship between stock",3,105
"extant literature",2,105
"productivity growth",2,105
"political economy",2,105
"impact of bank",3,105
"return relationship",2,104
"rate derivative",2,104
"last year",2,104
"cross-sectional difference",2,104
"point of view",3,104
"different country",2,104
"european banking",2,104
"asymmetric volatility",2,104
"australian stock",2,104
"season equity",2,104
"exchange rate change",3,104
"variance swap",2,104
"simulation result",2,104
"quarterly data",2,104
"insurance policy",2,104
"prospect theory",2,104
"shareholder protection",2,104
"blackwell publishers",2,104
"density function",2,103
"higher market",2,103
"hazard model",2,103
"rating change",2,103
"liquidity constraint",2,103
"financial ratio",2,103
"closing price",2,103
"international equity market",3,103
"domestic market",2,103
"optimal contract",2,103
"stock return predictability",3,103
"empirical examination",2,103
"relevant information",2,103
"market liberalization",2,103
"home market",2,103
"portfolio theory",2,103
"econometric model",2,103
"principal component analysis",3,103
"efficient frontier",2,103
"estate investment trust",3,103
"foreign equity",2,103
"corporate credit",2,103
"loan loss provision",3,103
"board member",2,102
"organizational form",2,102
"competitive market",2,102
"country risk",2,102
"event study methodology",3,102
"higher moment",2,102
"government debt",2,102
"family control",2,102
"intangible asset",2,102
"large stock",2,102
"option data",2,102
"exogenous shocks",2,102
"daily stock",2,102
"fund management",2,102
"recent literature",2,102
"price reversal",2,102
"important implications",2,102
"logit model",2,102
"health insurance",2,102
"return comovement",2,102
"external capital",2,102
"interest margin",2,102
"joint venture",2,102
"regulatory environment",2,101
"investment banking",2,101
"risk measurement",2,101
"higher cost",2,101
"available information",2,101
"weak evidence",2,101
"macroeconomic risk",2,101
"crude oil future",3,101
"sample selection",2,101
"causal relationship",2,101
"financial return",2,101
"social media",2,101
"parameter estimate",2,101
"portfolio holding",2,101
"direct evidence",2,101
"additional test",2,101
"futur market",2,101
"stock selection",2,101
"frequency trading",2,101
"fund size",2,101
"firm from country",3,100
"firm -level data",3,100
"exchange rate movement",3,100
"change in market",3,99
"optimal capital structure",3,98
"effect on stock",3,96
"term of trade",3,96
"stock market liquidity",3,96
"moral hazard problem",3,95
"interest rate volatility",3,95
"employee stock option",3,94
"dollar exchange rate",3,94
"geometric brownian motion",3,93
"value of equity",3,91
"interest rate derivative",3,91
"corporate cash holding",3,91
"significant abnormal return",3,90
"net asset value",3,90
"hedge fund manager",3,89
"bond yield spread",3,89
"effect of stock",3,88
"stock market participation",3,88
"extreme value theory",3,87
"total factor productivity",3,87
"stock price performance",3,86
"effect of market",3,86
"evidence in support",3,85
"dynamic conditional correlation",3,85
"commonality in liquidity",3,84
"volatility of stock",3,84
"stock market performance",3,84
"source of risk",3,84
"relationship between bank",3,84
"exchange rate dynamics",3,84
"determinant of bank",3,84
"investment opportunity set",3,83
"measure of market",3,83
"model with time",3,83
"return on equity",3,83
"partial differential equation",3,83
"method of payment",3,83
"interest rate model",3,82
"earning per share",3,81
"data envelopment analysis",3,81
"stock price movement",3,81
"real estate return",3,81
"number of asset",3,80
"important policy implication",3,80
"level of information",3,79
"real estate price",3,79
"higher interest rate",3,79
"interest rate parity",3,79
"financial crisis period",3,79
"equity risk premium",3,78
"short sale constraint",3,78
"asset allocation decision",3,77
"number of firm",3,77
"net present value",3,77
"benefit of control",3,76
"index option market",3,76
"time to maturity",3,76
"use of derivative",3,75
"optimal hedge ratio",3,75
"effect of change",3,74
"line of credit",3,74
"optimal monetary policy",3,74
"section of stock",3,73
"firm from to",3,73
"variance risk premium",3,73
"cost of bank",3,73
"limit order market",3,73
"performance of firm",3,72
"capital gain tax",3,72
"mutual fund investor",3,72
"exchange rate return",3,72
"stochastic general equilibrium",3,72
"change over time",3,72
"credit rating agency",3,72
"stock market development",3,72
"vector autoregressive model",3,71
"panel data set",3,71
"interest rate change",3,70
"limit to arbitrage",3,69
"default swap spread",3,69
"spot exchange rate",3,69
"low interest rate",3,69
"high frequency data",3,69
"access to finance",3,68
"stock index return",3,68
"relation between stock",3,68
"european sovereign debt",3,68
"market interest rate",3,67
"evidence in favor",3,67
"predictability of stock",3,67
"autoregressive conditional heteroskedasticity",3,67
"change in bank",3,67
"hedge fund performance",3,67
"exchange rate fluctuation",3,66
"role of bank",3,66
"aggregate stock market",3,66
"season equity offering",3,66
"firm in country",3,66
"institutional investor LLC",3,66
"asset pricing theory",3,65
"impact on stock",3,65
"number of stock",3,65
"stock market data",3,65
"variance ratio test",3,65
"difference of opinion",3,65
"stock price synchronicity",3,65
"asian stock market",3,65
"degree of market",3,64
"macroeconomic news announcement",3,64
"stock price informativeness",3,64
"interest rate spread",3,64
"number of share",3,63
"effect of board",3,63
"cash flow volatility",3,63
"volatility risk premium",3,63
"effect of government",3,62
"impact on bank",3,62
"international financial market",3,62
"increase in risk",3,62
"maximum likelihood estimation",3,62
"exchange rate pass",3,62
"data from to",3,62
"private equity fund",3,62
"residential real estate",3,62
"sovereign credit rating",3,62
"bank holding company",3,62
"strategic asset allocation",3,61
"effect on firm",3,61
"adverse selection cost",3,61
"government bond yield",3,61
"effect of ceo",3,61
"effect of credit",3,61
"impact of market",3,61
"impulse response function",3,61
"cash flow rights",3,61
"probability density function",3,60
"international capital market",3,60
"measure of liquidity",3,60
"monetary policy announcement",3,60
"impact of trade",3,60
"elasticity of variance",3,60
"lower interest rate",3,60
"excess stock return",3,60
"instrumental variable approach",3,60
"stock price volatility",3,59
"index future contract",3,59
"monetary policy rule",3,59
"relationship between market",3,59
"number of trade",3,59
"marginal tax rate",3,58
"level of debt",3,58
"underlying asset price",3,58
"interest rate differentials",3,58
"vector error correction",3,58
"standard deviation increase",3,58
"monetary policy transmission",3,58
"type of risk",3,57
"equity premium puzzle",3,57
"international stock return",3,57
"effect of investor",3,57
"corporate tax avoidance",3,57
"capital structure choice",3,56
"return on stock",3,56
"flexible exchange rate",3,56
"bond mutual fund",3,56
"global equity market",3,56
"gross domestic product",3,56
"corporate capital structure",3,55
"point in time",3,55
"panel data analysis",3,55
"effect on bank",3,55
"rate of interest",3,55
"asset allocation strategy",3,55
"asset under management",3,55
"level of market",3,55
"central bank intervention",3,55
"risk management practice",3,54
"common risk factor",3,54
"average stock return",3,54
"adverse selection problem",3,54
"stock price response",3,54
"optimal asset allocation",3,54
"response to change",3,54
"change in risk",3,54
"stock price behavior",3,53
"type of firm",3,53
"distribution of return",3,53
"impact of change",3,53
"increase in volatility",3,53
"variation in stock",3,53
"type of investor",3,53
"government bond market",3,53
"random walk model",3,53
"sovereign bond market",3,53
"source of information",3,53
"change in volatility",3,53
"class of model",3,53
"impact of investor",3,53
"real economic activity",3,52
"sample of country",3,52
"future stock price",3,52
"supply of credit",3,52
"order of magnitude",3,52
"relationship between risk",3,52
"crude oil market",3,52
"change in stock",3,52
"varies over time",3,51
"hedge fund strategy",3,51
"bank stock return",3,51
"sample of stock",3,51
"net interest margin",3,51
"time series data",3,51
